BinValue,Red,Green,Blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,102945,0,0
11,0,0,0
12,0,0,0
13,0,102945,0
14,0,0,0
15,0,0,0
16,129970,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,129970,102945
22,0,0,0
23,103853,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,103853,0
29,0,0,0
30,84776,0,0
31,0,0,129970
32,0,0,0
33,0,0,0
34,0,0,0
35,0,84776,0
36,71963,0,0
37,0,0,0
38,0,0,103853
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,71963,0
44,0,0,0
45,70252,0,0
46,0,0,0
47,0,0,84776
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,70252,0
53,0,0,0
54,50153,0,0
55,0,0,0
56,0,0,0
57,0,0,71963
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,50153,0
63,42134,0,0
64,0,0,0
65,0,0,0
66,0,0,70252
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,42134,0
74,0,0,0
75,17438,0,0
76,0,0,0
77,0,0,50153
78,0,0,0
79,0,0,0
80,0,0,0
81,99060,0,0
82,0,0,0
83,0,0,0
84,177487,0,0
85,0,0,0
86,0,17438,0
87,173883,0,0
88,0,0,0
89,0,0,0
90,133388,0,42134
91,0,0,0
92,153266,0,0
93,0,0,0
94,305487,0,0
95,0,0,0
96,0,0,0
97,0,99060,0
98,408604,0,0
99,0,0,0
100,0,177487,0
101,343583,0,0
102,156839,0,0
103,0,173883,0
104,155847,0,17438
105,184060,0,0
106,0,133388,0
107,179456,153266,0
108,196139,0,0
109,0,0,0
110,342517,305487,0
111,0,0,0
112,0,0,0
113,0,0,0
114,217396,408604,0
115,160656,0,0
116,0,0,0
117,175788,163145,0
118,0,180438,0
119,158257,156839,0
120,267075,0,0
121,0,339907,0
122,0,0,0
123,0,0,0
124,488286,375595,99060
125,0,0,0
126,164272,0,0
127,172746,149849,0
128,219710,192668,0
129,0,0,177487
130,421607,160656,0
131,116636,217396,0
132,0,0,327149
133,367227,0,0
134,209759,334045,0
135,291512,0,0
136,0,132912,0
137,290263,0,298422
138,0,158033,210643
139,179750,134163,0
140,333171,152022,0
141,0,0,303598
142,299759,350977,0
143,208505,0,0
144,243014,164272,197961
145,344126,305111,156839
146,255685,219710,0
147,333723,0,0
148,298687,233132,184060
149,0,339885,180438
150,528275,193028,0
151,164531,174199,196139
152,274589,146047,0
153,63678,144216,155847
154,171777,252810,0
155,197324,181927,149849
156,0,179750,340112
157,0,0,0
158,193281,151244,0
159,0,290448,0
160,105727,0,350925
161,0,208335,0
162,0,0,0
163,0,494794,217396
164,110626,344126,158033
165,93852,63678,0
166,0,429573,175788
167,0,0,0
168,0,474377,132912
169,0,164531,172746
170,103618,178697,116636
171,0,261217,286185
172,0,274589,0
173,0,0,130126
174,55816,301165,188475
175,0,0,178231
176,0,0,91424
177,0,216353,374031
178,0,0,0
179,0,0,365757
180,0,0,81943
181,0,93852,0
182,0,103618,426160
183,36196,0,144216
184,0,0,181927
185,0,0,237877
186,0,0,0
187,0,55816,369891
188,0,0,179750
189,0,0,0
190,0,0,0
191,0,0,403024
192,0,0,297775
193,0,0,0
194,0,36196,173888
195,0,0,243014
196,0,0,0
197,0,0,630442
198,0,0,0
199,0,0,0
200,0,0,695834
201,0,0,298687
202,0,0,103618
203,0,0,178697
204,0,0,274589
205,0,0,303051
206,0,0,0
207,0,0,93852
208,0,0,0
209,0,0,0
210,0,0,55816
211,0,0,0
212,0,0,0
213,0,0,0
214,0,0,0
215,0,0,36196
216,0,0,0
217,0,0,0
218,0,0,0
219,0,0,0
220,0,0,0
221,0,0,0
222,0,0,0
223,0,0,0
224,0,0,0
225,0,0,0
226,0,0,0
227,0,0,0
228,0,0,0
229,0,0,0
230,0,0,0
231,0,0,0
232,0,0,0
233,0,0,0
234,0,0,0
235,0,0,0
236,0,0,0
237,0,0,0
238,0,0,0
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
